,Former Atlanta Falcons player Justin Crawford has been charged with aggravated child molestation and sodomy https://t.co/Acx34d7D4T,Tue Oct 16 11:16:31 +0000 2018,34280715,False,False.1,0,Unnamed: 6,Unnamed: 7,Unnamed: 8,[],[].1,Unnamed: 11,"Watch FOX 17 News Nashville at 5:30 p.m., 9 p.m. and 10 p.m. and FOX 17 This Morning weekdays from 4 a.m.–9 a.m.",7627,73860,Unnamed: 15,3988,en,919,"Nashville, TN",149323,[].2
229,"#Abracadabra #OpenSesame #10X  
On Hard📈
A'mor Shanee'
#AmorShanee
#Detroit #LosAngeles #NewOrleans #Dallas… https://t.co/GG4xo4cGM3",Tue Oct 16 11:15:08 +0000 2018,507432009,True,False,0,,,,"[{'text': 'Abracadabra', 'indices': [0, 12]}, {'text': 'OpenSesame', 'indices': [13, 24]}, {'text': '10X', 'indices': [25, 29]}, {'text': 'AmorShanee', 'indices': [55, 66]}, {'text': 'Detroit', 'indices': [67, 75]}, {'text': 'LosAngeles', 'indices': [76, 87]}, {'text': 'NewOrleans', 'indices': [88, 99]}, {'text': 'Dallas', 'indices': [100, 107]}]",[],,"New Ep ""Moon Shine"" now available! https://t.co/NuPuBKqZ7n",2249,5810,,3620,en,13,"Detroit, MI",29344,"['Abracadabra', 'OpenSesame', '10X', 'AmorShanee', 'Detroit', 'LosAngeles', 'NewOrleans', 'Dallas']"
251,"RT @Wafunya: It is official, starting tonight, Jogoo Road leads to Atlanta! https://t.co/Q2eWoO2ENK",Tue Oct 16 11:15:07 +0000 2018,379171388,False,False,337,226135134.0,"It is official, starting tonight, Jogoo Road leads to Atlanta! https://t.co/Q2eWoO2ENK",False,[],"[{'screen_name': 'Wafunya', 'name': 'FettyWaf1738', 'id': 226135134, 'id_str': '226135134', 'indices': [3, 11]}]",,Manchester United. Mûnjirû.,1387,1026,,921,en,21,Ngurunga-inî,64338,[]
274,CNN 4:13am I'thlUtNl IHUIVIP'D I'llblUHY UI' 5|:L||:V|NLI UtNIALb. . TODAY ATLANTA -9 78° CHARLOTTE +76° WASHINGTON,Tue Oct 16 11:15:03 +0000 2018,887758139335909376,False,False,0,,,,[],[],,"Analyzed chyron ""lower thirds"" from CNN TV using OCR..
|| https://t.co/6jk17i9xQ4
|| More chans:
https://t.co/4OvHgbwKpf
|| API:
https://t.co/RRUoP52JVp",1,281,,0,en,11,"San Francisco, CA",311155,[]
298,"RT @realAllyMaine: ITS NOT AN ILLUSION!!!!!! ALLY TO HEADLINE SUPER BOWL HALFTIME SHOW #ALLYSuperBowl 🙌🏼❤️🏈
SEE YOU IN ATLANTA, ALLYGATORS!…",Tue Oct 16 11:15:00 +0000 2018,200029105,False,False,352,1.0490271858252022e+18,"ITS NOT AN ILLUSION!!!!!! ALLY TO HEADLINE SUPER BOWL HALFTIME SHOW #ALLYSuperBowl 🙌🏼❤️🏈
SEE YOU IN ATLANTA, ALLYGA… https://t.co/hKGgDlpJjz",True,"[{'text': 'ALLYSuperBowl', 'indices': [87, 101]}]","[{'screen_name': 'realAllyMaine', 'name': 'Ally Maine', 'id': 1049027185825202177, 'id_str': '1049027185825202177', 'indices': [3, 17]}]",,"songwriter. Debut album ""Forlorn"", available now on every platform. https://t.co/yEjXt3MSGV",15782,1897,,814,en,8,Greece,66392,['ALLYSuperBowl']
323,"RT @Jason_Pollock: This incident just took place at the Cumberland Mall, Atlanta. Look how this officer to touching this young kid. He woul…",Tue Oct 16 11:14:59 +0000 2018,805906520,False,False,133,18363508.0,"This incident just took place at the Cumberland Mall, Atlanta. Look how this officer to touching this young kid. He… https://t.co/jJN3a2Uyto",True,[],"[{'screen_name': 'Jason_Pollock', 'name': 'Jason Pollock', 'id': 18363508, 'id_str': '18363508', 'indices': [3, 17]}]",,Instagram/pinterest/massroots @tripleagenetics,133,751,,1401,en,17,Seattle area,6051,[]
349,"RT @Blk_Hermione: BREAKING: This happened today at the Cumberland Mall, Atlanta. Look how this racist cop armlocked, tortured a 12-yo Black…",Tue Oct 16 11:14:55 +0000 2018,90500404,False,False,739,1.0367428259188777e+18,"BREAKING: This happened today at the Cumberland Mall, Atlanta. Look how this racist cop armlocked, tortured a 12-yo… https://t.co/xNm8LZj3e5",True,[],"[{'screen_name': 'Blk_Hermione', 'name': '\U0001f9d9🏾\u200d♀️💫', 'id': 1036742825918877696, 'id_str': '1036742825918877696', 'indices': [3, 16]}]",,oh hey there • JWM ♡,81743,693,,655,en,6,NYC,21041,[]
376,Runnin Thru The 6 That's A East Atlanta City  https://t.co/IK55eiDxvO,Tue Oct 16 11:14:51 +0000 2018,541815568,False,False,0,,,,[],[],,Not The Same 💰,6924,1098,,1049,en,7,Atlanta.,27329,[]
404,"Former Home Depot Chairman: Boards are looking for diversity, audit board ability, digital fluency https://t.co/TG8NrPcZQj via @AtlBizChron",Tue Oct 16 11:14:49 +0000 2018,25319425,False,False,0,,,,[],"[{'screen_name': 'AtlBizChron', 'name': 'AtlBizChron', 'id': 23628802, 'id_str': '23628802', 'indices': [127, 139]}]",,#HomeAutomation #IOT #SmartHome #DigitalMarketing #ShopperMarketing #Retail #GlobalSoul #HotIceLive #BrandActivation #ROYAYERS #IndieSoul #ChiCitySoul,901,1900,,2429,en,46,"Chicago, Atlanta, Worldwide",6290,[]
433,House where someone shot at officers and SWAT standoff in SW Atlanta overnight is the same house where 7 people sho… https://t.co/BTrCSvqfNx,Tue Oct 16 11:14:47 +0000 2018,207159317,True,False,0,,,,[],[],,"I'm A True Believer Of The Second Amendment. Want Gun Control, Hold The Gun With Both Hands And AIM. I BULLET AM SORRY.",0,1196,,277,en,19,,34630,[]
463,"I didn’t even give that song a chance when it came out, 2 years later and I’m listening to new East Atlanta love le… https://t.co/6kO4iAdMTD",Tue Oct 16 11:14:46 +0000 2018,821138618915942400,True,False,0,,,,[],[],,,2258,66,,93,en,0,"Brooklyn, NY",817,[]
